X.ZTIME,LON,LAT,WSR_ID,CELL_ID,RANGE,AZIMUTH,SEVPROB,PROB,MAXSIZE
20150311215949,-76.80372,35.62552,KAKQ,J1,82,173,100,100,1.75
20150311220846,-76.70643,35.58658,KAKQ,J1,85,170,90,90,1.5
20150311221103,-76.65079,35.5727,KMHX,C0,49,13,90,90,2.25
20150311221301,-76.65338,35.57237,KRAX,T0,90,93,100,100,2.25
20150311221313,-76.64271,35.57952,KAKQ,J1,86,168,100,100,1.75
20150311221740,-76.60372,35.55228,KAKQ,J1,88,167,100,100,2
20150311221809,-76.59489,35.5418,KRAX,T0,93,94,100,100,2
20150311221959,-76.55686,35.53311,KMHX,C0,48,19,100,100,2.25
20150311222207,-76.53241,35.53217,KAKQ,J1,90,165,100,100,2.25
20150311222316,-76.53722,35.5095,KRAX,T0,96,95,100,100,2.25
20150311222433,-76.49308,35.51289,KMHX,C0,48,23,90,90,1.75
20150311222635,-76.49041,35.5069,KAKQ,J1,92,164,100,100,2.25
20150311222825,-76.47633,35.50413,KRAX,T0,99,95,90,90,1.75
20150311223102,-76.44723,35.48238,KAKQ,J1,94,163,100,100,1.75
20150311223341,-76.42574,35.46783,KMHX,C0,47,28,90,90,2
20150311223529,-76.40906,35.47455,KAKQ,J1,95,162,90,90,1.75
20150318232308,-107.56992,46.33376,KBLX,A0,52,56,90,90,0.75
20150318232708,-107.54663,46.30818,KBLX,A0,52,58,90,90,0.75
20150318233506,-107.4827,46.29832,KBLX,A0,54,60,90,90,0.75
20150319022653,-118.3029,34.5836,KNKX,C3,118,328,90,100,1.25
20150319023034,-118.3029,34.5836,KNKX,C3,118,328,90,100,1.25
20150319205642,-81.60859,29.82177,KJAX,K4,40,173,90,90,1.75
20150320001414,-101.70951,29.28723,KDFX,A0,75,271,90,90,2
20150320001726,-101.69045,29.28714,KDFX,A0,74,271,90,90,2.25
20150320002712,-101.65233,29.28695,KDFX,A0,72,271,90,90,2
20150320003024,-101.65233,29.28695,KDFX,A0,72,271,90,90,2
20150320003346,-101.63326,29.28685,KDFX,A0,71,271,100,100,2.5
20150320003707,-101.6142,29.28675,KDFX,A0,70,271,90,100,2.25
20150320004029,-101.5948,29.30677,KDFX,A0,69,272,90,90,2.25
20150320004405,-101.57574,29.30637,KDFX,A0,68,272,90,100,2
20150320015048,-80.45658,31.57902,KCLX,H7,71,155,100,100,2
20150320015314,-80.45504,31.58448,KJAX,P0,92,44,100,100,2.25
20150320015501,-80.42624,31.57277,KCLX,H7,72,154,100,100,1.75
20150320022833,-80.36908,31.50648,KJAX,P0,92,48,90,90,2
20150320022938,-80.35177,31.49244,KCLX,H7,78,153,90,90,1.5
20150322225524,-88.31204,31.66203,KDGX,V5,93,113,100,100,2.25
20150322225922,-88.27634,31.6485,KDGX,V5,95,113,90,90,1.75
20150322231117,-88.15557,31.63484,KDGX,V5,101,112,100,100,2
20150322231515,-88.11963,31.6218,KDGX,V5,103,112,100,100,2
20150324061625,-97.48075,39.94266,KOAX,H4,97,212,90,100,1
20150324205721,-94.81318,37.69135,KTWX,H0,103,139,90,100,1.5
20150324205721,-94.81811,37.86765,KTWX,E0,95,135,100,100,1.75
20150324205941,-94.80797,37.89696,KSGF,O5,78,301,90,100,1.75
20150324210128,-94.76469,37.91304,KINX,A0,111,20,90,100,1.75
20150324210204,-94.77072,37.6983,KTWX,H0,104,138,90,100,1.5
20150324210204,-94.76883,37.90684,KTWX,E0,95,133,100,100,1.75
20150324210335,-94.73321,37.93375,KEAX,C0,57,203,90,100,2.5
20150324210353,-94.76047,37.92695,KSGF,O5,77,303,90,100,2
20150324210559,-94.74258,37.95995,KINX,A0,114,20,90,100,1.75
20150324210703,-94.75526,37.53531,KTWX,L0,112,141,90,100,1.25
20150324210703,-94.71411,37.73888,KTWX,H0,104,136,90,100,1.25
20150324210703,-94.73692,37.9585,KTWX,E0,94,131,100,100,2.25
20150324211202,-94.62953,37.75738,KTWX,H0,106,134,90,100,1.25
20150324211202,-94.77125,37.44202,KTWX,P0,116,143,100,100,1.5
20150324211202,-94.6532,38.01048,KTWX,E0,95,128,100,100,1.75
20150324211701,-94.61013,38.05407,KTWX,E0,95,126,90,100,1.5
20150324211701,-94.69072,37.46959,KTWX,P0,117,141,100,100,2
20150324212144,-94.54669,38.18567,KTWX,U0,93,121,90,100,1.25
20150324212628,-94.47581,38.24749,KTWX,U0,94,118,90,100,1.25
20150324212628,-94.67421,37.39553,KTWX,H1,121,142,100,100,1.75
20150324212837,-94.58732,37.43026,KSGF,J5,58,282,90,100,1.75
20150324213111,-94.41243,37.77081,KTWX,I1,113,130,90,100,1.25
20150324213111,-94.57829,37.41298,KTWX,H1,123,140,100,100,1.75
20150324213350,-94.49681,37.4479,KSGF,J5,54,284,90,100,1.75
20150324213911,-94.40628,37.46068,KSGF,J5,50,286,90,100,1.75
20150324214006,-94.34505,38.38173,KTWX,U0,96,112,90,100,1.25
20150324214006,-94.33944,38.00927,KTWX,L1,107,123,100,100,1.5
20150324214435,-94.26581,38.4481,KTWX,U0,98,109,90,100,1.25
20150324215006,-94.27114,37.47081,KSGF,J5,44,289,90,100,1.75
20150324215213,-94.26004,37.4519,KINX,G0,99,39,90,100,1.75
20150324220102,-94.34917,36.89185,KSGF,E6,50,246,90,100,1.75
20150324220522,-94.07264,38.6786,KTWX,U0,103,100,90,100,1.25
20150324220903,-94.01683,38.73215,KTWX,U0,105,98,90,100,1.25
20150324221245,-93.98971,38.75992,KTWX,U0,106,97,90,100,1.25
20150324221357,-93.94462,38.79647,KEAX,S0,15,93,100,100,2.5
20150324221626,-93.96314,38.78833,KTWX,U0,107,96,90,100,1.25
20150324221727,-93.9626,37.41492,KSGF,C7,29,292,90,100,1.5
20150324221727,-94.03649,37.14347,KSGF,Q4,31,260,90,100,1.75
20150324221727,-93.50143,37.55873,KSGF,Z6,20,346,90,100,1.75
20150324221925,-93.88366,38.85117,KEAX,S0,18,82,100,100,3.25
20150324221954,-95.33315,38.64985,KTWX,Q2,47,116,90,100,1.25
20150324221954,-93.91174,38.84707,KTWX,U0,109,94,100,100,2.25
20150324222255,-93.97496,37.15248,KSGF,Q4,28,260,90,100,1.75
20150324222255,-94.06969,36.89711,KSGF,E6,38,238,90,100,1.75
